epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,139.535,1.48031,1.71958,2.01047,0.76698,0.55231,0.68025,0.37489,1.55475,1.6647,2.09693,0.00079238,0.00079238,0.00079238
47,142.026,1.57577,1.74578,2.05268,0.6124,0.54972,0.60032,0.36421,1.59042,2.07061,2.20968,0.000778233,0.000778233,0.000778233
48,144.457,1.50935,1.70018,1.99372,0.74986,0.58007,0.65679,0.41099,1.48333,1.65099,2.11662,0.000764086,0.000764086,0.000764086
49,146.905,1.48367,1.71246,1.98545,0.67531,0.58749,0.66623,0.42632,1.42407,1.57711,2.06163,0.000749939,0.000749939,0.000749939
50,149.419,1.46287,1.6046,1.93849,0.68577,0.65169,0.69607,0.45417,1.35655,1.49387,1.9986,0.000735792,0.000735792,0.000735792
51,151.87,1.44729,1.64072,1.93675,0.79229,0.58175,0.69064,0.44291,1.42313,1.54582,2.05609,0.000721645,0.000721645,0.000721645
52,154.272,1.46091,1.65767,1.92455,0.73293,0.61585,0.69907,0.45481,1.37646,1.44582,2.00537,0.000707498,0.000707498,0.000707498
53,156.771,1.4442,1.64636,1.93982,0.76522,0.60547,0.72036,0.45325,1.43746,1.40946,2.06301,0.000693351,0.000693351,0.000693351
54,159.208,1.5113,1.6874,2.00068,0.67712,0.54639,0.64255,0.39895,1.44988,1.63551,2.08082,0.000679204,0.000679204,0.000679204
55,161.728,1.42986,1.60489,1.91704,0.70087,0.58514,0.70657,0.4421,1.47235,1.60667,2.10505,0.000665057,0.000665057,0.000665057
56,164.236,1.41564,1.5741,1.92623,0.77223,0.63525,0.71384,0.45203,1.37675,1.4789,2.01067,0.000650909,0.000650909,0.000650909
57,166.674,1.40288,1.56697,1.91472,0.70571,0.63331,0.69305,0.45561,1.35995,1.47745,1.97238,0.000636762,0.000636762,0.000636762
58,169.111,1.44703,1.57094,1.93976,0.66942,0.62214,0.69194,0.42945,1.39375,1.54707,2.01867,0.000622615,0.000622615,0.000622615
59,171.504,1.42678,1.56232,1.92266,0.73498,0.65908,0.72996,0.47184,1.35798,1.46444,1.90941,0.000608468,0.000608468,0.000608468
60,173.939,1.43063,1.56102,1.90168,0.7005,0.77503,0.76939,0.4843,1.35355,1.34042,1.8945,0.000594321,0.000594321,0.000594321
61,176.339,1.33958,1.46739,1.83294,0.62871,0.68135,0.71305,0.44367,1.42933,1.4513,1.96448,0.000580174,0.000580174,0.000580174
62,178.763,1.36292,1.49218,1.86776,0.76782,0.67404,0.73738,0.47943,1.30285,1.35241,1.86592,0.000566027,0.000566027,0.000566027
63,181.205,1.36509,1.43646,1.84279,0.83719,0.60421,0.73475,0.47723,1.32754,1.35379,1.87328,0.00055188,0.00055188,0.00055188
64,183.592,1.33312,1.44776,1.85797,0.75283,0.66947,0.76282,0.48397,1.33501,1.31015,1.90494,0.000537733,0.000537733,0.000537733
65,186.002,1.35819,1.41496,1.82229,0.77531,0.66492,0.75713,0.48759,1.33229,1.29249,1.90804,0.000523586,0.000523586,0.000523586
66,188.397,1.36683,1.46254,1.8539,0.81793,0.59875,0.76053,0.50031,1.33773,1.37622,1.94454,0.000509438,0.000509438,0.000509438
67,190.857,1.35579,1.43733,1.83774,0.82452,0.65773,0.77059,0.51023,1.35218,1.27391,1.9208,0.000495291,0.000495291,0.000495291
68,193.34,1.34173,1.45944,1.84295,0.76695,0.65108,0.74059,0.48681,1.32348,1.40456,1.90849,0.000481144,0.000481144,0.000481144
69,195.87,1.29727,1.40074,1.79963,0.79041,0.66252,0.77321,0.5236,1.26264,1.23654,1.83234,0.000466997,0.000466997,0.000466997
70,198.336,1.31266,1.43548,1.8327,0.64738,0.74669,0.75808,0.49825,1.30719,1.23379,1.89168,0.00045285,0.00045285,0.00045285
71,200.807,1.30398,1.38066,1.80866,0.7743,0.72793,0.78836,0.51839,1.25736,1.26573,1.83988,0.000438703,0.000438703,0.000438703
72,203.355,1.3278,1.40126,1.83145,0.8247,0.72325,0.78958,0.52547,1.26397,1.22649,1.81386,0.000424556,0.000424556,0.000424556
73,205.818,1.31089,1.40296,1.82384,0.84213,0.72423,0.79454,0.52284,1.30768,1.21396,1.86379,0.000410409,0.000410409,0.000410409
74,208.312,1.33205,1.37692,1.80025,0.8019,0.65622,0.75186,0.50946,1.31351,1.27569,1.86157,0.000396262,0.000396262,0.000396262
75,210.806,1.25983,1.32686,1.74555,0.80029,0.62688,0.7467,0.49641,1.29056,1.31119,1.83625,0.000382115,0.000382115,0.000382115
76,213.276,1.24947,1.28517,1.73951,0.77563,0.7012,0.76498,0.50844,1.25587,1.26555,1.81867,0.000367967,0.000367967,0.000367967
77,215.702,1.26232,1.31316,1.75177,0.81995,0.7359,0.8146,0.52834,1.28422,1.19043,1.82743,0.00035382,0.00035382,0.00035382
78,218.187,1.25662,1.37687,1.76178,0.82645,0.7251,0.81834,0.54723,1.2662,1.20031,1.81621,0.000339673,0.000339673,0.000339673
79,220.643,1.23555,1.28344,1.73638,0.84241,0.67289,0.78823,0.53936,1.24178,1.26719,1.80193,0.000325526,0.000325526,0.000325526
80,223.147,1.23885,1.27732,1.72727,0.78726,0.69364,0.79598,0.54717,1.2069,1.13857,1.75236,0.000311379,0.000311379,0.000311379
81,225.78,1.21693,1.25781,1.70489,0.78835,0.70035,0.79279,0.52827,1.24493,1.11705,1.7604,0.000297232,0.000297232,0.000297232
82,228.345,1.21185,1.25068,1.73101,0.83705,0.70344,0.80724,0.54932,1.21702,1.13547,1.75472,0.000283085,0.000283085,0.000283085
83,231.021,1.22265,1.28993,1.70615,0.79342,0.71938,0.78888,0.54403,1.23609,1.19712,1.7811,0.000268938,0.000268938,0.000268938
84,233.642,1.22837,1.31172,1.72872,0.84808,0.71153,0.81554,0.56267,1.18499,1.06657,1.72913,0.000254791,0.000254791,0.000254791
85,236.228,1.19677,1.23887,1.69959,0.83688,0.67813,0.80388,0.5641,1.16197,1.05829,1.72466,0.000240644,0.000240644,0.000240644
86,239.067,1.19405,1.21997,1.68998,0.77055,0.76043,0.82079,0.55749,1.19596,1.07891,1.72983,0.000226497,0.000226497,0.000226497
87,242.015,1.19286,1.21194,1.67965,0.78791,0.74628,0.81416,0.56373,1.20463,1.10432,1.74695,0.000212349,0.000212349,0.000212349
88,245.135,1.22213,1.25159,1.70252,0.82758,0.69664,0.81068,0.56687,1.21435,1.06819,1.75563,0.000198202,0.000198202,0.000198202
89,248.15,1.22853,1.22764,1.73593,0.81123,0.71354,0.79837,0.55913,1.2166,1.07932,1.74905,0.000184055,0.000184055,0.000184055
90,250.831,1.24538,1.24866,1.71225,0.82623,0.70958,0.7813,0.55312,1.2008,1.09547,1.74554,0.000169908,0.000169908,0.000169908
91,260.008,1.16986,1.35367,1.70643,0.7833,0.744,0.80216,0.54747,1.25719,1.07097,1.75707,0.000155761,0.000155761,0.000155761
92,262.528,1.05306,1.16807,1.56793,0.81402,0.58879,0.73081,0.44388,1.46477,1.36128,1.95288,0.000141614,0.000141614,0.000141614
93,264.95,1.06815,1.14819,1.63086,0.73436,0.71865,0.78845,0.54178,1.2449,1.18568,1.77713,0.000127467,0.000127467,0.000127467
94,267.335,1.04897,1.1019,1.617,0.79612,0.69397,0.80586,0.5638,1.18196,1.08091,1.71928,0.00011332,0.00011332,0.00011332
95,269.853,1.02734,1.07221,1.58396,0.84148,0.77108,0.83406,0.5762,1.20004,1.00982,1.71449,9.91726e-05,9.91726e-05,9.91726e-05
96,272.37,1.03643,1.04668,1.57961,0.84301,0.76756,0.83458,0.56924,1.21024,1.01058,1.72013,8.50255e-05,8.50255e-05,8.50255e-05
97,274.85,1.01055,1.01087,1.55589,0.81347,0.79885,0.84157,0.57627,1.18949,1.00653,1.71485,7.08784e-05,7.08784e-05,7.08784e-05
98,277.323,0.99719,1.02602,1.56824,0.83565,0.79237,0.85618,0.58277,1.20342,0.98942,1.72853,5.67313e-05,5.67313e-05,5.67313e-05
99,279.747,0.99651,1.03042,1.54791,0.84433,0.78422,0.84693,0.57287,1.20725,0.98383,1.73239,4.25842e-05,4.25842e-05,4.25842e-05
100,282.192,0.99829,1.02215,1.55437,0.84978,0.77664,0.84775,0.57365,1.20254,0.98257,1.72693,2.84371e-05,2.84371e-05,2.84371e-05
